Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 00:23,5329,80377B0B0,223240,80BBE6D70,377762.53,Euro,377762.53,Euro,ACH,0
2022/09/01 00:24,121453,8130E2A70,121453,8130E2A70,5.08,US Dollar,5.08,US Dollar,Reinvestment,0
2022/09/01 00:20,12963,802DDAC70,12963,802DDAC70,19.48,Euro,19.48,Euro,Reinvestment,0
2022/09/01 00:23,231004,812EE86F0,21940,812EE89C0,3401.73,US Dollar,3401.73,US Dollar,ACH,1
2022/09/01 00:17,70,100428660,152980,8140702D0,6892.43,US Dollar,6892.43,US Dollar,Credit Card,1
2022/09/01 00:26,70,1004286A8,2591,800926A30,37145.3,Euro,37145.3,Euro,Cheque,1
2022/09/01 00:06,21174,800737690,12,80011F990,2848.96,Euro,2848.96,Euro,ACH,1
2022/09/01 04:33,21174,800737690,20,80020C5B0,8630.4,Euro,8630.4,Euro,ACH,1
2022/09/01 09:14,21174,800737690,20,80006A5E0,35642.49,Yuan,35642.49,Yuan,ACH,1
2022/09/01 09:56,21174,800737690,220,8007A5B70,5738987.96,US Dollar,5738987.96,US Dollar,ACH,1
2022/09/01 11:28,21174,800737690,1244,80093C0D0,7254.53,US Dollar,7254.53,US Dollar,ACH,1
2022/09/01 13:13,21174,800737690,513,80078E200,6990.87,US Dollar,6990.87,US Dollar,ACH,1
2022/09/01 14:11,21174,800737690,20,80066B990,12536.92,Euro,12536.92,Euro,ACH,1
2022/09/02 15:40,21174,800737690,410,8002CC310,3511.82,Euro,3511.82,Euro,ACH,1
2022/09/02 21:23,21174,800737690,1292,8004030A0,16135.09,US Dollar,16135.09,US Dollar,ACH,1
2022/09/02 23:10,21174,800737690,1601,800578800,12183.28,US Dollar,12183.28,US Dollar,ACH,1
2022/09/03 09:29,21174,800737690,1,800AAF0B0,15197.45,US Dollar,15197.45,US Dollar,ACH,1
2022/09/03 14:22,21174,800737690,1420,8006FB970,4717.76,US Dollar,4717.76,US Dollar,ACH,1
2022/09/04 07:35,21174,800737690,10,800449990,19332.59,US Dollar,19332.59,US Dollar,ACH,1
2022/09/04 09:10,21174,800737690,11852,800AEBA90,300.93,Euro,300.93,Euro,ACH,1
2022/09/04 12:03,21174,800737690,10,800692550,2724.99,US Dollar,2724.99,US Dollar,ACH,1
2022/09/04 15:48,21174,800737690,11056,8007486D0,15224.53,Euro,15224.53,Euro,ACH,1
2022/09/01 00:12,70,1004286A8,24144,80D9B69A0,8873.07,Euro,8873.07,Euro,Cash,1
2022/09/01 00:13,13659,812232F90,13659,812232F90,836.0,Rupee,836.0,Rupee,Reinvestment,0
2022/09/01 00:11,112497,804CDE740,112497,804CDE740,1544.68,Rupee,1544.68,Rupee,Reinvestment,0
2022/09/01 00:02,319548,80716BE40,217824,80716C5F0,0.07,Ruble,0.07,Ruble,Cheque,0
2022/09/01 00:09,70,100428738,10656,8044072A0,37080124.05,Yen,37080124.05,Yen,Cheque,1
2022/09/01 00:06,70,100428858,8,8090A6540,66.06,Canadian Dollar,66.06,Canadian Dollar,Cash,1
2022/09/01 00:20,70,100428978,141312,80FC59DE0,56042.84,Swiss Franc,56042.84,Swiss Franc,Cheque,1
2022/09/01 01:38,24515,806EB9640,24515,806EB9640,5.86,US Dollar,5.86,US Dollar,Reinvestment,0
2022/09/01 01:53,13858,8024F2710,1916,80685CAD0,14195.44,Euro,14195.44,Euro,ACH,0
2022/09/01 00:59,11157,808DC6640,1674,80A188830,1013.0,US Dollar,1013.0,US Dollar,Credit Card,0
2022/09/01 01:09,1244,801E9E770,1244,801E9E770,1425.27,US Dollar,1425.27,US Dollar,Reinvestment,0
2022/09/01 00:42,1655,801035A30,1547,801035AD0,823710.0,Euro,823710.0,Euro,Cheque,0
2022/09/01 00:46,33301,8029668B0,33301,8029668B0,1227.64,Euro,1227.64,Euro,Reinvestment,0
2022/09/01 00:03,243897,810884D60,243897,810884D60,1970432.47,Shekel,1970432.47,Shekel,Reinvestment,0
2022/09/01 02:22,10614,80AEB6A10,10614,80AEB6A10,13.36,US Dollar,13.36,US Dollar,Reinvestment,0
2022/09/01 01:02,17246,8066807B0,123390,80B7F7050,978.98,US Dollar,978.98,US Dollar,Credit Card,0
2022/09/01 01:45,19593,8038EAAB0,19593,8038EAAB0,107.7,Yuan,107.7,Yuan,Reinvestment,0
2022/09/01 00:58,14650,801B1BC60,23,801EF0950,6689.54,Euro,6689.54,Euro,Cheque,0
2022/09/01 01:19,238190,80E193830,112,80E58DB80,19103.21,Swiss Franc,19103.21,Swiss Franc,Wire,0
2022/09/01 01:54,124261,80C71F040,131800,805541E90,2339.83,Euro,2339.83,Euro,Credit Card,0
2022/09/01 02:26,70,1004286A8,1916,8020850A0,1600.93,Euro,1600.93,Euro,Credit Card,0
2022/09/01 00:25,113,81019C470,113,81019C470,150380.95,Shekel,150380.95,Shekel,Reinvestment,0
2022/09/01 00:01,118,811A693A0,118,811A693A0,115168.07,Saudi Riyal,115168.07,Saudi Riyal,Reinvestment,0
2022/09/01 02:18,213,80C58D930,27,80CA2FEE0,72176.03,Mexican Peso,72176.03,Mexican Peso,Cheque,0
2022/09/01 00:14,254355,8140EE7C1,254355,8140EE7C1,0.34783,Bitcoin,0.34783,Bitcoin,Bitcoin,0
2022/09/01 00:16,48309,8122C2400,48309,8122C2400,29.93,Saudi Riyal,29.93,Saudi Riyal,Reinvestment,0
2022/09/01 00:12,43735,8106526E0,46616,8115E9030,23068.08,Shekel,23068.08,Shekel,Credit Card,0
2022/09/01 00:00,255657,8147B0B61,255657,8147B0B61,11.1615,Bitcoin,11.1615,Bitcoin,Bitcoin,0
2022/09/01 01:00,27616,8063DECB0,3335,809CDBAC0,5321.62,Euro,5321.62,Euro,Credit Card,0
2022/09/01 00:49,116214,80709F1D0,116214,80709F1D0,1412.16,US Dollar,1412.16,US Dollar,Reinvestment,0
2022/09/01 02:29,70,100428660,10,808224340,179.02,US Dollar,179.02,US Dollar,Cheque,0
2022/09/01 00:34,4523,8046DEC30,4523,8046DEC30,46282.42,US Dollar,46282.42,US Dollar,Reinvestment,0
2022/09/01 00:26,121,811F0DBE0,121,811F0DBE0,70.71,Saudi Riyal,70.71,Saudi Riyal,Reinvestment,0
2022/09/01 00:45,22,800E04000,22,800E04000,14662.85,Euro,14662.85,Euro,Reinvestment,0
2022/09/01 00:16,126,813EA0381,255654,8147E45E1,0.003553,Bitcoin,0.003553,Bitcoin,Bitcoin,0
2022/09/01 00:48,112064,805375940,112989,805CB04B0,112329.95,Rupee,112329.95,Rupee,Credit Card,0
2022/09/01 01:25,22205,800F48710,210404,805AEDF60,1195.23,US Dollar,1195.23,US Dollar,Cheque,0
2022/09/01 00:21,119,811D52690,119,811D52690,38.7,Saudi Riyal,38.7,Saudi Riyal,Reinvestment,0
2022/09/01 01:06,21940,8011511A0,21940,8011511A0,25543.15,US Dollar,25543.15,US Dollar,Reinvestment,0
2022/09/01 00:10,153502,81438B1C1,254565,8148EFCB1,1.526386,Bitcoin,1.526386,Bitcoin,Bitcoin,0
2022/09/01 00:38,110836,804DEA6C0,15625,806A20E70,931.79,US Dollar,931.79,US Dollar,Cheque,0
2022/09/01 00:19,344711,8105E9BE0,344711,8105E9BE0,711.1,Shekel,711.1,Shekel,Reinvestment,0
2022/09/01 02:17,20,802FDC830,20,802FDC830,510641.82,Yuan,510641.82,Yuan,Reinvestment,0
2022/09/01 01:20,134920,80CE46100,36868,80DA0B790,315.37,Brazil Real,315.37,Brazil Real,Credit Card,0
2022/09/01 00:36,334916,80CC89F90,32564,80CC8A080,0.01,Mexican Peso,0.01,Mexican Peso,Cheque,0
2022/09/01 00:02,144735,811919500,144735,811919500,20.49,Shekel,20.49,Shekel,Reinvestment,0
2022/09/01 02:40,14077,802FE5F20,14077,802FE5F20,408.26,US Dollar,408.26,US Dollar,Reinvestment,0
2022/09/01 02:45,11318,80112EDD0,11813,801D03C30,2402.71,US Dollar,2402.71,US Dollar,Credit Card,0
2022/09/01 02:04,3673,8004E5F20,3673,8004E5F20,14745.55,US Dollar,14745.55,US Dollar,Reinvestment,0
2022/09/01 02:15,1501,801585AA0,15180,802EDEA00,279.88,Euro,279.88,Euro,Cash,0
2022/09/01 00:21,126,81423B971,126,81423B971,21.166663,Bitcoin,21.166663,Bitcoin,Bitcoin,0
2022/09/01 00:07,144639,810876840,144639,810876840,66.39,Shekel,66.39,Shekel,Reinvestment,0
2022/09/01 00:54,122055,8090B8740,210,809175840,10147.05,Canadian Dollar,10147.05,Canadian Dollar,Cheque,0
2022/09/01 01:57,114202,805A0DC60,115958,80AC5F780,124157.01,Rupee,124157.01,Rupee,Cheque,0
2022/09/01 01:52,215687,807807F90,142973,81171FC40,1836.91,US Dollar,1836.91,US Dollar,Credit Card,0
2022/09/01 02:47,137273,80DCED500,137273,80DCED500,413.93,US Dollar,413.93,US Dollar,Reinvestment,0
2022/09/01 00:04,15,81375E6F1,15,81375E6F1,0.066024,Bitcoin,0.066024,Bitcoin,Bitcoin,0
2022/09/01 01:19,38532,807CF5600,38532,807CF5600,2320.22,US Dollar,2320.22,US Dollar,Reinvestment,0
2022/09/01 00:45,21174,8006B9870,3698,80164EA90,218.15,US Dollar,218.15,US Dollar,Cheque,0
2022/09/01 01:36,219449,810E36090,112212,813243A80,132.14,Euro,132.14,Euro,Credit Card,0
2022/09/01 00:26,148348,81341F6A0,148348,81341F6A0,50630.99,Saudi Riyal,50630.99,Saudi Riyal,Reinvestment,0
2022/09/01 02:05,10099,803B27AE0,10057,803B6B610,39245.48,Yen,39245.48,Yen,Cheque,0
2022/09/01 01:25,215897,80CD97770,1,80CD8BB00,26789.38,US Dollar,26789.38,US Dollar,ACH,0
2022/09/01 01:00,122946,8087EF3D0,122946,8087EF3D0,2724.39,US Dollar,2109.22,UK Pound,ACH,0
2022/09/01 00:21,45304,810F07A10,45304,810F07A10,90625.55,Shekel,90625.55,Shekel,Reinvestment,0
2022/09/01 02:04,48910,8134156D0,48910,8134156D0,9238400.11,Saudi Riyal,9238400.11,Saudi Riyal,Reinvestment,0
2022/09/01 01:23,70,100428A51,152416,813E3DBD1,0.344975,Bitcoin,0.344975,Bitcoin,Bitcoin,0
2022/09/01 01:43,338950,80ECA4CB0,338950,80ECA4CB0,1373.24,Swiss Franc,1373.24,Swiss Franc,Reinvestment,0
2022/09/01 00:08,154653,81495C861,154653,81495C861,17.599852,Bitcoin,17.599852,Bitcoin,Bitcoin,0
2022/09/01 00:18,314359,8127EA160,314359,8127EA160,9353.19,Saudi Riyal,183129.12,Rupee,ACH,0
2022/09/01 02:23,13858,801F501F0,410,802090F90,78.36,Euro,78.36,Euro,Credit Card,0
2022/09/01 01:29,12963,80234C370,12963,80234C370,17.17,Euro,17.17,Euro,Reinvestment,0
2022/09/01 00:43,1,8001870C0,250508,8136BF560,102.58,US Dollar,102.58,US Dollar,Cheque,0
2022/09/01 01:21,7,800099B50,211,8076BFE50,4932.45,UK Pound,4932.45,UK Pound,Cheque,0
2022/09/01 01:13,24132,801A8FC40,5140,80992FD90,182.86,US Dollar,182.86,US Dollar,Cheque,0
2022/09/01 00:23,48211,8127DA8B0,48309,8127D15F0,5015.0,Saudi Riyal,5015.0,Saudi Riyal,ACH,0
2022/09/01 00:41,113,81006FBA0,43049,8100CF410,13116.4,Shekel,13116.4,Shekel,Cheque,0
2022/09/01 00:41,215064,812F58600,10,81323EEB0,65.03,US Dollar,65.03,US Dollar,Cheque,0
2022/09/01 02:41,1588,8010B9980,1588,8010B9980,149.44,US Dollar,149.44,US Dollar,Reinvestment,0
2022/09/01 01:26,21918,801D678A0,26818,807BB7A60,4184.4,Euro,4184.4,Euro,Credit Card,0
2022/09/01 00:01,254565,813DD5CF1,255654,81474A341,0.008916,Bitcoin,0.008916,Bitcoin,Bitcoin,0
2022/09/01 01:16,18549,8032FE2D0,18549,8032FE2D0,5143.57,US Dollar,5143.57,US Dollar,Reinvestment,0
2022/09/01 00:09,118,811C19C00,48211,8123751C0,73430.99,Saudi Riyal,73430.99,Saudi Riyal,Credit Card,0
2022/09/01 02:50,12,8001A8EB0,1362,8005DBC30,214.48,US Dollar,214.48,US Dollar,Credit Card,0
2022/09/01 01:59,240229,80FC38F20,240971,80FC385D0,51344.19,Swiss Franc,51344.19,Swiss Franc,ACH,0
2022/09/01 01:55,2843,8116A5560,2843,8116A5560,104.83,US Dollar,104.83,US Dollar,Reinvestment,0
2022/09/01 00:38,39896,8046F8E10,39896,8046F8E10,137565.53,Yen,137565.53,Yen,Reinvestment,0
2022/09/01 00:13,217,8112F1DB0,217,8112F1DB0,28.23,Shekel,28.23,Shekel,Reinvestment,0
2022/09/01 01:53,222363,80F701FA0,222363,80F701FA0,575.16,Euro,673.96,US Dollar,ACH,0
2022/09/01 01:54,217496,8065D8320,217496,8065D8320,1471.8,Ruble,1471.8,Ruble,Reinvestment,0
2022/09/01 01:33,32564,80C91E370,133686,80C9A75C0,31195.8,Mexican Peso,31195.8,Mexican Peso,Cheque,0
2022/09/01 01:58,1674,800BC2F50,11813,80116B5D0,4218.56,US Dollar,4218.56,US Dollar,Wire,0
2022/09/01 01:02,313307,805CA9C60,6,805CEB3B0,4051.94,Rupee,4051.94,Rupee,ACH,0
2022/09/01 00:20,248857,8127BB540,248857,8127BB540,22.19,Saudi Riyal,22.19,Saudi Riyal,Reinvestment,0
2022/09/01 01:15,1669,800B929A0,1669,800B929A0,8939091.64,Euro,8939091.64,Euro,Reinvestment,0
2022/09/01 01:10,13145,801A45590,13145,801A45590,7607.81,US Dollar,7607.81,US Dollar,Reinvestment,0
2022/09/01 02:06,134939,80CF3BC00,134976,80CF3D580,190.49,Brazil Real,190.49,Brazil Real,Wire,0
2022/09/01 01:46,12719,804972030,10,80520CE50,1712.12,US Dollar,1712.12,US Dollar,Cash,0
2022/09/01 02:05,10,80CE35300,135034,80D6FEF70,995728.28,Brazil Real,995728.28,Brazil Real,Wire,0
2022/09/01 00:25,223,811B841A0,223,811B841A0,25695.33,Saudi Riyal,25695.33,Saudi Riyal,Reinvestment,0
2022/09/01 02:24,116,80DC15560,117,80DC35080,1338.84,Swiss Franc,1338.84,Swiss Franc,Cheque,0
2022/09/01 02:22,23,8001AEBF0,22,8001BE5E0,2442.31,Euro,2442.31,Euro,ACH,0
2022/09/01 01:50,70,100428660,132523,8132AD7D0,116.71,US Dollar,116.71,US Dollar,Cheque,0
2022/09/01 02:23,231744,80C1A1BA0,231744,80C1A1BA0,157.03,Mexican Peso,157.03,Mexican Peso,Reinvestment,0
2022/09/01 01:23,24515,80220DE00,24515,80220DE00,130581.02,US Dollar,130581.02,US Dollar,Reinvestment,0
2022/09/01 01:33,70,100428660,1729,8037931C0,1594709.42,US Dollar,1594709.42,US Dollar,Cash,0
2022/09/01 01:52,14,80306BD60,18475,8037FAA50,45985.5,Yuan,45985.5,Yuan,Cheque,0
2022/09/01 02:55,12,800F674E0,4503,802546610,5057.42,US Dollar,5057.42,US Dollar,Cheque,0
2022/09/01 00:07,244192,81019AF00,244192,81019AF00,1364217.94,Shekel,1364217.94,Shekel,Reinvestment,0
2022/09/01 01:11,2843,800DE07F0,4523,801DB38E0,6693.54,US Dollar,6693.54,US Dollar,Credit Card,0
2022/09/01 02:04,238190,80EA77B50,40312,80F2EC470,4677.84,Swiss Franc,4677.84,Swiss Franc,Wire,0
2022/09/01 00:29,53744,813C5EB41,53744,813C5EB41,15.878411,Bitcoin,15.878411,Bitcoin,Bitcoin,0
2022/09/01 00:44,323877,808EEE7D0,323877,808EEE7D0,6797.82,UK Pound,6797.82,UK Pound,Reinvestment,0
2022/09/01 00:32,1241,800FD1750,9371,80D418FF0,589.02,US Dollar,589.02,US Dollar,Cheque,0
2022/09/01 02:22,1729,8006E0660,2439,802765610,126.29,US Dollar,126.29,US Dollar,Wire,0
2022/09/01 00:26,124,814619F71,124,814619F71,27.566741,Bitcoin,27.566741,Bitcoin,Bitcoin,0
2022/09/01 01:52,115,8000C0000,110,80CDE8AE0,8319.0,Brazil Real,8319.0,Brazil Real,Cheque,0
2022/09/01 02:26,135010,80CEE4DB0,235551,80DA09060,7673.57,Brazil Real,7673.57,Brazil Real,Wire,0
2022/09/01 02:40,1588,800F6B0F0,12381,800F78080,1126520.0,US Dollar,1126520.0,US Dollar,Cheque,0
2022/09/01 00:39,24922,80918D270,24922,80918D270,21376.48,Canadian Dollar,21376.48,Canadian Dollar,Reinvestment,0
2022/09/01 02:16,112637,8058DD730,14838,805C3E6E0,86310.05,Rupee,86310.05,Rupee,Credit Card,0
2022/09/01 00:02,126,8137244C1,126,8137244C1,0.101842,Bitcoin,0.101842,Bitcoin,Bitcoin,0
2022/09/01 02:29,70,100428660,13432,804EA8EB0,110.71,US Dollar,110.71,US Dollar,Cheque,0
2022/09/01 01:37,70,100428810,22155,8085EF470,11137.07,UK Pound,11137.07,UK Pound,Cheque,0
2022/09/01 00:28,345462,8115C4170,345462,8115C4170,774.97,Shekel,774.97,Shekel,Reinvestment,0
2022/09/01 01:12,5329,8066441A0,120709,80A68E2A0,2309.74,Euro,2309.74,Euro,ACH,0
2022/09/01 00:29,356270,814935521,154148,814935881,0.61713,Bitcoin,0.61713,Bitcoin,Bitcoin,0
2022/09/01 00:27,247706,8117C3CC0,247706,8117C3CC0,30.74,Shekel,30.74,Shekel,Reinvestment,0
2022/09/01 00:03,1467,8013C4030,20,80BC62F10,58702.1,Yuan,58702.1,Yuan,ACH,1
2022/09/01 02:52,20,80BC62F10,240229,80F025640,7332.87,Swiss Franc,7332.87,Swiss Franc,ACH,1
2022/09/02 08:44,240229,80F025640,217,80FD27570,26443.7,Shekel,26443.7,Shekel,ACH,1
2022/09/02 12:29,217,80FD27570,24856,8090E8EB0,10621.24,Canadian Dollar,10621.24,Canadian Dollar,ACH,1
2022/09/03 10:20,24856,8090E8EB0,71,804ABCE90,637140.6,Rupee,637140.6,Rupee,ACH,1
2022/09/03 12:08,71,804ABCE90,213737,805494C30,621578.18,Rupee,621578.18,Rupee,ACH,1
2022/09/03 13:24,213737,805494C30,14290,801B949C0,7222.58,Euro,7222.58,Euro,ACH,1
2022/09/04 03:24,14290,801B949C0,10057,803DE1580,892031.21,Yen,892031.21,Yen,ACH,1
2022/09/04 09:44,10057,803DE1580,28628,80ACEE280,11364.12,Australian Dollar,11364.12,Australian Dollar,ACH,1
2022/09/04 15:51,28628,80ACEE280,1467,8013C4030,7945.55,US Dollar,7945.55,US Dollar,ACH,1
2022/09/01 00:04,119,811C597B0,48309,811C599A0,34254.65,Saudi Riyal,34254.65,Saudi Riyal,ACH,1
2022/09/01 19:27,150240,812D22980,48309,811C599A0,5971.98,Saudi Riyal,5971.98,Saudi Riyal,ACH,1
2022/09/04 05:06,222,811B83280,48309,811C599A0,50445.58,Saudi Riyal,50445.58,Saudi Riyal,ACH,1
2022/09/04 05:03,48309,811C599A0,48309,811C599A0,48649.42,Saudi Riyal,48649.42,Saudi Riyal,ACH,1
2022/09/04 14:59,48309,811C599A0,119,811C597B0,64379.45,Saudi Riyal,64379.45,Saudi Riyal,ACH,1
2022/09/01 00:41,70,100428660,8805,805B66DC0,1104.79,US Dollar,1104.79,US Dollar,Cheque,1
2022/09/01 00:49,143508,8127331A0,250508,8127332E0,4913.3,US Dollar,4913.3,US Dollar,ACH,1
2022/09/01 00:59,70,1004286A8,112354,8072445F0,20.24,Euro,20.24,Euro,Credit Card,1
2022/09/01 00:33,21387,811B12170,21387,811B121C0,3259.18,Euro,3259.18,Euro,ACH,1
2022/09/01 00:45,70,1004286A8,111326,812BD4500,4943.97,Euro,4943.97,Euro,Cheque,1
2022/09/01 00:39,18097,807507390,18200,8075086A0,9430.06,Yuan,9430.06,Yuan,ACH,1
2022/09/01 00:35,70,100428738,210690,8044336A0,636532.29,Yen,636532.29,Yen,Cash,1
2022/09/01 00:39,6,80A50D000,127999,80A50D050,5832.84,Australian Dollar,5832.84,Australian Dollar,ACH,1
2022/09/01 00:57,133686,80C734F80,133471,80C7351B0,37389.78,Mexican Peso,37389.78,Mexican Peso,ACH,1
2022/09/01 00:33,70,100428978,241121,80F1D73F0,504.96,Swiss Franc,504.96,Swiss Franc,Cheque,1
2022/09/02 12:36,223,8000DD890,40312,80F52D550,14153.46,Swiss Franc,14153.46,Swiss Franc,ACH,1
2022/09/03 19:52,40312,80F52D550,23370,80BEA98A0,11975.53,UK Pound,11975.53,UK Pound,ACH,1
2022/09/01 10:19,18617,8038D3520,24482,801C0F2B0,13712.96,Euro,13712.96,Euro,ACH,1
2022/09/03 05:06,24482,801C0F2B0,214,80C1B9E20,333126.09,Mexican Peso,333126.09,Mexican Peso,ACH,1
2022/09/01 09:22,40836,80F6B88B0,16606,8064545E0,11800.69,US Dollar,11800.69,US Dollar,ACH,1
2022/09/03 08:27,16606,8064545E0,2454,80662A070,12331.0,US Dollar,12331.0,US Dollar,ACH,1
2022/09/02 07:21,21749,8014BDC90,214050,80537F610,317448.19,Rupee,317448.19,Rupee,ACH,1
2022/09/04 19:11,214050,80537F610,17554,806C8F2A0,349281.29,Ruble,349281.29,Ruble,ACH,1
2022/09/01 15:05,23842,80195DE20,2845,801E2BC20,277.59,US Dollar,277.59,US Dollar,ACH,1
2022/09/04 09:31,2845,801E2BC20,220504,807E97240,230.27,UK Pound,230.27,UK Pound,ACH,1
2022/09/01 14:28,10,8009CF210,11318,8011AB110,11964.97,US Dollar,11964.97,US Dollar,ACH,1
2022/09/03 09:33,11318,8011AB110,28255,806C7CF80,11521.43,US Dollar,11521.43,US Dollar,ACH,1
2022/09/02 19:34,3229,803FF9220,220271,81114D580,10295.53,US Dollar,10295.53,US Dollar,ACH,1
2022/09/04 04:56,220271,81114D580,13145,809BD8BC0,9743.15,US Dollar,9743.15,US Dollar,ACH,1
2022/09/02 07:37,115700,80B3E96E0,14099,801F8CCB0,17684.19,US Dollar,17684.19,US Dollar,ACH,1
2022/09/03 04:39,14099,801F8CCB0,24144,801C92FF0,14819.83,Euro,14819.83,Euro,ACH,1
2022/09/01 18:17,22806,807A61380,6179,802D53D80,16345.56,US Dollar,16345.56,US Dollar,ACH,1
2022/09/04 01:29,6179,802D53D80,240229,80EE2B9B0,14199.39,Swiss Franc,14199.39,Swiss Franc,ACH,1
2022/09/01 08:40,214,80B7347A0,410,802D878C0,6702.62,Euro,6702.62,Euro,ACH,1
2022/09/03 01:44,410,802D878C0,3229,8063F5290,7617.17,US Dollar,7617.17,US Dollar,ACH,1
2022/09/01 16:51,2591,80A1C7710,24850,80A09CF50,3724.19,Euro,3724.19,Euro,ACH,1
2022/09/02 12:47,24850,80A09CF50,23833,8067AD0A0,4646.02,US Dollar,4646.02,US Dollar,ACH,1
2022/09/01 00:43,12963,80296CA20,241869,80F390FC0,12562.68,Swiss Franc,12562.68,Swiss Franc,ACH,1
2022/09/01 07:15,1588,801ABC430,241869,80F390FC0,10475.35,Swiss Franc,10475.35,Swiss Franc,ACH,1
2022/09/01 15:25,3051,8012E62B0,241869,80F390FC0,13315.35,Swiss Franc,13315.35,Swiss Franc,ACH,1
2022/09/01 15:32,2843,8043B07C0,241869,80F390FC0,7999.49,Swiss Franc,7999.49,Swiss Franc,ACH,1
2022/09/01 17:25,29788,80399CED0,241869,80F390FC0,8430.98,Swiss Franc,8430.98,Swiss Franc,ACH,1
2022/09/02 07:29,28183,80BF4C160,241869,80F390FC0,295.9,Swiss Franc,295.9,Swiss Franc,ACH,1
2022/09/02 15:44,131167,80C21E690,241869,80F390FC0,3354.5,Swiss Franc,3354.5,Swiss Franc,ACH,1
2022/09/03 03:54,129974,80FE25690,241869,80F390FC0,9547.03,Swiss Franc,9547.03,Swiss Franc,ACH,1
2022/09/03 07:12,3051,806A3D750,241869,80F390FC0,2024.65,Swiss Franc,2024.65,Swiss Franc,ACH,1
2022/09/03 11:07,13157,805CA5A30,241869,80F390FC0,4513.56,Swiss Franc,4513.56,Swiss Franc,ACH,1
2022/09/03 14:28,1047,8031B5390,241869,80F390FC0,12427.99,Swiss Franc,12427.99,Swiss Franc,ACH,1
2022/09/04 14:07,214050,80543C3C0,241869,80F390FC0,1514.49,Swiss Franc,1514.49,Swiss Franc,ACH,1
2022/09/04 16:21,1501,808C45FE0,241869,80F390FC0,10058.54,Swiss Franc,10058.54,Swiss Franc,ACH,1
2022/09/04 16:37,241869,80F390FC0,7548,805284730,11674.83,Euro,11674.83,Euro,ACH,1
2022/09/04 17:23,241869,80F390FC0,1467,801D43090,4832.76,US Dollar,4832.76,US Dollar,ACH,1
